#TEXT,TEXT,NUM,NUM,NUM,FLOAT,FLOAT,NUM,NUM,NUM,NUM,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,NUM,NUM,NUM
id,name,isDamagePoint,health,isTarget,damageRate1,damageRate2,property1,property2,stat1WpType,stat2WpType,node,boxColliders,findWpEffect,appraisalStateEffect,stateparam0,state0Tips,state0Icon,stateparam1,state1Tips,state1Icon,stateparam2,state2Tips,state2Icon,stateparam3,stateparam4,state4Tips,initialStatus,scaleX,scaleY
#弱点id,弱点名称,是否关联boss减血,弱点hp,ai/aoe可选(0:都不可选；1:ai可选；2:aoe可选；3:都可选),弱点系数（正常状态1),弱点系数( 正常状态2),弱点五行(正常状态1),弱点五行(正常状态2),0 对本体有加成;1对敌方有压制;2保护弱点;3受伤比高;4受伤比低;5受伤比正常,,弱点的节点,"弱点碰撞检测的盒子（一个模型身上的所有弱点，不能拥有相同的碰撞检测box,只针对与boss，小怪可以不填写）",开始鉴定效果,完成鉴定效果,状态0对应参数,状态0tips,隐藏状态图标,状态1对应参数,状态1tips,状态1对应图片,状态2对应参数,状态2tips,状态2对应图片,状态3对应参数,状态4对应参数,状态4tips,部位初始状态(0 隐藏，1正常状态1，2正常状态2，3冻结，4死亡,水平缩放,垂直缩放
xgwp,wpName1,1,900000,1,1,1,-1,-1,0,,e_shouji,,ruodian_jiandingzhong,ruodian,,,RuodianIcon_hide,,,RuodianIcon_hide,,,RuodianIcon_hide,,,,1,1,1
xgwpHide,wpName2,2,9000000,1,0,1,-1,-1,1,,e_shouji,,ruodian_jiandingzhong,ruodian,,,RuodianIcon_hide,"{""mesh"":""monstermesh"",""effect"":""yincangxiaoguai""",,RuodianIcon_hide,,,RuodianIcon_hide,,,,0,1,1
bossdajie11Xiaochou4wp01,wpName33,1,9999999,3,1,1,-1,-1,5,,wp_body,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_body"",""effect"":""""}",,Xiaochou4_xiong_d,"{""mesh"":""mesh_body"",""effect"":""""}",xiaochou4normal1_body,Xiaochou4_xiong,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_body"",""effect"":""""}",dead wp,1,1,1
bossdajie11Xiaochou4wp02,wpName34,1,9999999,0,2,2,-1,-1,3,,wp_head,"[""ruodian02_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_head"",""effect"":""""}",xiaochou4hide_head,Xiaochou4_tou_d,"{""mesh"":""mesh_head"",""effect"":""""}",xiaochou4normal1_head,Xiaochou4_tou,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_head"",""effect"":""""}",dead wp,0,1,1
bossdajie12Mantuoluo2wp01,wpName35,1,9999999,3,1,1,-1,-1,5,,wp_body,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_body"",""effect"":""""}",,Mantuoluo2_xiong_d,"{""mesh"":""mesh_body"",""effect"":""""}",mantuoluo2normal1_body,Mantuoluo2_xiong,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_body"",""effect"":""""}",dead wp,1,1,1
bossdajie12Mantuoluo2wp02,wpName36,0,1200,2,1,1,-1,-1,0,,wp_root,"[""ruodian02_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_root"",""effect"":""""}",mantuoluo2hide_root,Mantuoluo2_jiao_d,"{""mesh"":""mesh_root"",""effect"":""""}",mantuoluo2normal1_root,Mantuoluo2_jiao,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bossdajie13Cike4wp01,bossdajie13Cike4wp01,1,9999999,3,1,1,-1,-1,5,,wp_body,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_body"",""effect"":""""}",,,"{""mesh"":""mesh_body"",""effect"":""""}",huocike4normal1_body,Cike4_tou,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_body"",""effect"":""""}",dead wp,1,1,1
bossdajie13Cike4wp02,bossdajie13Cike4wp02,0,3000,2,1,1,-1,-1,0,,wp_shell,"[""ruodian02_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_shell"",""effect"":""""}",huocike4hide_shell,Cike4_xiong_d,"{""mesh"":""mesh_shell"",""effect"":""""}",huocike4normal1_shell,Cike4_xiong,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bossdajie14Piying5wp01,wpName40,1,9999999,3,1,1,-1,-1,5,,wp_body,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_body"",""effect"":""""}",,Piying5_xiong_d,"{""mesh"":""mesh_body"",""effect"":""""}",piying5normal1_body,Piying5_xiong,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_body"",""effect"":""""}",dead wp,1,1,1
