#TEXT,TEXT,TEXT,TEXT
id,chinese,english,traditional
#文字Id,文字内容,文字内容,文字内容
pet_character_1,物理输出,Physical DPS,物理輸出
pet_character_2,法术输出,Magic DPS,法術輸出
pet_character_3,支援,Support,支援
pet_character_4,支援,Support,支援
pet_character_5,治疗,Healer,治療
pet_character_6,肉盾,Tank,肉盾
Valor,物理输出,Physical DPS,物理輸出
Spiritual,法术输出,Magic DPS,法術輸出
Mischievous,支援,Support,支援
Collaborate,支援,Support,支援
Compassion,治疗,Healer,治療
Humility,肉盾,Tank,肉盾
descrip_valor,力量的化身，善于运用物理技能对敌方造成物理伤害，是队伍的主要输出,The epitome of strength; excels at using physical abilities to deal physical damage to the enemy. An important part of your team's DPS.,力量的化身，善於運用物理技能對敵方造成物理傷害，是隊伍的主要輸出
descrip_spiritual,智慧的代表，善于运用法术技能对敌方造成法术伤害，是队伍的主要输出,The representative of wisdom; excels at using magic abilities to deal magic damage to the enemy. An important part of your team's DPS.,智慧的代表，善於運用法術技能對敵方造成法術傷害，是隊伍的主要輸出
descrip_mischievous,提供各种增益和减益状态，辅助队伍,Provides buffs and debuffs to support the team in battle,提供各種增益和減益狀態，輔助隊伍
descrip_collaborate,提供各种增益和减益状态，辅助队伍,Provides buffs and debuffs to support the team in battle,提供各種增益和減益狀態，輔助隊伍
descrip_compassion,善于运用治疗技能，可以恢复队伍的生命和状态,Uses healing abilities to recover HP and increase survivability,善於運用治療技能，可以恢復隊伍的生命和狀態
descrip_humility,善于运用嘲讽技能，主要为队伍承担伤害,Provokes enemies and absorbs large amounts of enemy damage,善於運用嘲諷技能，主要為隊伍承擔傷害
miaoshu_bossamute01,面具下隐藏着弱点,Find what underlies the mask.,面具下隱藏著弱點
wpName24,脸,Face,臉
wpName26,面具,Mask,面具
wpName34,头,Head,頭
wpName36,根部,Root,根部
wpName38,左腕带,Left Bracer,左腕帶
wpName39,右腕带,Right Bracer,右腕帶
wpName41,右半身,Right Shadow,右半身
wpName42,左半身,Left Shadow,左半身
wpName43,头,Head,頭
wpName45,花瓣,Petal,花瓣
wpName47,锤子,Hammer,錘子
wpName49,喇叭,Trumpet,喇叭
wpName51,角,Horn,角
wpName52,球,Ball,球
wpName54,手,Claw,手
wpName55,爪,Bracelet,爪
wpName57,玫瑰,Rose,玫瑰
wpName59,宝箱,Box,寶箱
wpName60,头顶,Skull,頭頂
wpName61,乌鸦,Crow,烏鴉
wpName63,头,Head,頭
wpName64,镰刀,Sickle,鐮刀
wpName66,头,Head,頭
wpName67,球,Magical Ball,球
wpName69,头顶,Skull,頭頂
wpName70,围巾,Scarf,圍巾
xiaochou4hide_head,猜猜我在哪,Find me,猜猜我在哪
mantuoluo2hide_root,曼陀罗看似在用根部吸取养分,Mandrake's Root is her secret to Massive Recovery.,曼陀羅看似在用根部吸取養分
