#TEXT,TEXT,TEXT
id,chinese,english
#文字Id,文字内容,文字内容
name_11_Gmjian,GM剑,NB~~~
name_10001_yaoshi,钥匙,key
name_10002_wuming,无名,no name
name_10003_duihuanquan,扫荡券,ticket
name_10004_chujiqianghuacailiao,初级装备强化石,basic upgrade stone
name_11001_chujizhuangbeiqianghuashi,初级装备强化石,basic upgrade stone
name_11002_zhongjizhuangbeiqianghuashi,中级装备强化石,standard  upgrade stone
name_11003_gaojizhuangbeiqianghuashi,高级装备强化石,superior  upgrade stone
name_10005_zhuangbeijinjieshi,装备进阶石,Advanced stone
name_10006_zhuangbeijinjiecailiao2,装备进阶卷轴,Advanced scroll
name_10007_baoshikaikongcailiao,宝石开孔石,Gem Socketing Chisel
name_10008_zhuangbeijinjiecailiao2chip,进阶卷轴碎片,Advanced scroll chip
name_10009_baoxiangyaoshi1,木质宝箱钥匙,Wood Key
name_10010_baoxiangyaoshi2,铁质宝箱钥匙,Iron Key
name_10011_baoxiangyaoshi3,白银宝箱钥匙,Silver Key
name_10012_baoxiangyaoshi4,黄金宝箱钥匙,Gold Key
name_10013_yibanlaji1,妖兽的晶核,Wicked Crux
name_10014_yibanlaji2,妖兽的皮毛,Wicked Pelt
name_10015_yibanlaji3,妖兽的指甲,Wicked Nails
name_10016_chongwuqianghuashi,宠物强化石,Monster Upgrade Stone
name_10017_chongwujinjieshi,宠物进阶石,Monster Advancement Stone
name_20001_suipian_common,灵魂本源,Core Fragments
name_20002_suipian_xiaochou3,水小丑碎片,xiaochou3suipian
name_20003_suipian_kairuisi4,火凯瑞斯碎片,kairuisi4suipian
name_20004_suipian_hetong2,木河童碎片,hetong2suipian
name_20005_suipian_wagui3,水蛙鬼碎片,wagui3suipian
name_20006_suipian_xiaochou4,火小丑碎片,xiaochou4suipian
name_20007_suipian_cike4,火刺壳碎片,cike4suipian
name_20008_suipian_panshen2,木潘神碎片,panshen2suipian
name_20009_suipian_huapo2,花魄碎片,Flower Pixie Fragment
name_20010_suipian_wushi3,水舞狮碎片,wushi3suipian
name_20011_suipian_wushi4,火舞狮碎片,wushi4suipian
