#NUM,NUM,TEXT,TEXT
id,type,desc,option
#问题id,类型(1=单选，2=多选，3=问答),内容(多语言id),"选项(多语言id1,id2...)"
1,1,test1,"test1_op1,test1_op2,test1_op3,test1_op4"
2,1,test2,"test2_op1,test2_op2,test2_op3,test2_op4"
101,2,test3,"test3_op1,test3_op2,test3_op3,test3_op4"
102,2,test4,"test4_op1,test4_op2,test4_op3,test4_op4"
201,3,test5,
202,3,test6,
11,1,lv501_title,"lv501_op1,lv501_op2,lv501_op3,lv501_op4"
12,1,lv502_title,"lv502_op1,lv502_op2,lv502_op3,lv502_op4"
13,1,lv503_title,"lv503_op1,lv503_op2,lv503_op3"
14,1,lv504_title,"lv504_op1,lv504_op2,lv504_op3,lv504_op4"
15,1,lv505_title,"lv505_op1,lv505_op2,lv505_op3,lv505_op4"
16,1,lv506_title,"lv506_op1,lv506_op2,lv506_op3,lv506_op4"
17,1,lv507_title,"lv507_op1,lv507_op2,lv507_op3"
18,1,lv508_title,"lv508_op1,lv508_op2,lv508_op3,lv508_op4,lv508_op5,lv508_op6"
21,1,lv2001_title,"lv2001_op1,lv2001_op2,lv2001_op3,lv2001_op4,lv2001_op5"
22,1,lv2002_title,"lv2002_op1,lv2002_op2,lv2002_op3,lv2002_op4,lv2002_op5"
23,1,lv2003_title,"lv2003_op1,lv2003_op2,lv2003_op3,lv2003_op4,lv2003_op5"
24,1,lv2004_title,"lv2004_op1,lv2004_op2,lv2004_op3,lv2004_op4,lv2004_op5"
25,1,lv2005_title,"lv2005_op1,lv2005_op2,lv2005_op3,lv2005_op4"
26,1,lv2006_title,"lv2006_op1,lv2006_op2,lv2006_op3,lv2006_op4,"
27,1,lv2007_title,"lv2007_op1,lv2007_op2,lv2007_op3,lv2007_op4"
28,1,lv2008_title,"lv2008_op1,lv2008_op2,lv2008_op3,lv2008_op4,lv2008_op5,lv2006_op5"
29,1,lv2009_title,"lv2009_op1,lv2009_op2,lv2009_op3"
30,2,lv2010_title,"lv2010_op1,lv2010_op2,lv2010_op3,lv2010_op4,lv2009_op4"
31,2,lv2011_title,"lv2011_op1,lv2011_op2,lv2011_op3,lv2011_op4"
32,1,lv2012_title,"lv2012_op1,lv2012_op2,lv2012_op3"
40,1,lv3001_title,"lv3001_op1,lv3001_op2,lv3001_op3,lv3001_op4,lv3001_op5"
41,1,lv3002_title,"lv3002_op1,lv3002_op2,lv3002_op3,lv3002_op4,lv3002_op5"
42,1,lv3003_title,"lv3003_op1,lv3003_op2,lv3003_op3,lv3003_op4,lv3003_op5"
43,1,lv3004_title,"lv3004_op1,lv3004_op2,lv3004_op3,lv3004_op4,lv3004_op5"
44,3,lv3005_title,
45,1,lv3006_title,"lv3006_op1,lv3006_op2,lv3006_op3,lv3006_op4,lv3006_op5"
46,1,lv3007_title,"lv3007_op1,lv3007_op2,lv3007_op3,lv3007_op4,lv3007_op5"
47,1,lv3008_title,"lv3008_op1,lv3008_op2,lv3008_op3"
48,1,lv3009_title,"lv3009_op1,lv3009_op2,lv3009_op3"
49,1,lv3010_title,"lv3010_op1,lv3010_op2,lv3010_op3"
50,3,lv3011_title,
51,3,lv3012_title,
